*WERSJA VULCAN,,,,,,,
PLAN LEKCJI 3A,,,,,,,
,,,,,,,
BLOK,,PONIEDZIAŁEK,WTOREK,ŚRODA,CZWARTEK,PIĄTEK
0,8:00 - 8:45,,WF,,,
,8:45 - 9:30,,WF,,,WF
,,,,,,,
1,10:00 - 10:45,J. POLSKI A2,CHEMIA A2,J. HISZPAŃSKI B9,*,*
,10:45 - 11:30,J. POLSKI A2,CHEMIA A2,J. HISZPAŃSKI B9,*,*
2,11:35 - 12:20,INFORMATYKA B3,MATEMATYKA B7,MATEMATYKA B7,G. WYCH. B3,J. ANGIELSKI B3 i B7 (podział na grupy)
,12:20 - 13:05,INFORMATYKA B3,MATEMATYKA B7,MATEMATYKA B7,G. WYCH. B3,J. ANGIELSKI B3 i B7 (podział na grupy)
,,,,,,,
3,13:55 - 14:40,EZ B9,J. ANGIELSKI A1 i B3 (podział na grupy),J. ANGIELSKI B7 i B9 (podział na grupy),HISTORIA A2,FIZYKA B8
,14:40 - 15:25,EZ B9,J. ANGIELSKI A1 i B3 (podział na grupy),J. ANGIELSKI B7 i B9 (podział na grupy),HISTORIA A2,FIZYKA B8
4,15:30 - 16:15,BIOLOGIA B9,*,GEOGRAFIA B3,MATEMATYKA B7,J. POLSKI A1
,16:15 - 17:00,BIOLOGIA B9,*,GEOGRAFIA B3,MATEMATYKA B7,J. POLSKI A1
,,,,,,,



